YearMonth,AREA NAME,Count,LAT,LON
2022-11,Hollywood,956,34.09958075313808,-118.32861830543933
2022-11,Mission,743,34.251891655450876,-118.45152503364737
2022-11,N Hollywood,882,34.171473582766446,-118.3844290249433
2022-11,Newton,963,34.011127725856696,-118.25999387331257
2022-11,Northeast,809,34.10714165636588,-118.24371446229912
2022-11,Olympic,889,34.05972902137233,-118.30082159730034
2022-11,Pacific,991,33.98422855701312,-118.42144016145309
2022-11,Rampart,883,34.06402785956965,-118.27398108720273
2022-11,Southeast,906,33.93833951434879,-118.26650640176601
2022-11,Southwest,1104,34.02044710144928,-118.31320570652174
2022-11,Topanga,764,34.192540837696335,-118.60053965968586
2022-11,Van Nuys,807,34.178129120198264,-118.44651982651796
2022-11,West LA,884,34.05100735294118,-118.43875633484163
2022-11,West Valley,875,34.18541142857143,-118.52077542857143
2022-11,Wilshire,942,34.06125966029724,-118.35067239915075
2022-12,77th Street,1229,33.97774694873881,-118.29823474369405
2022-12,Central,1518,34.04750592885376,-118.25038603425561
2022-12,Devonshire,836,34.25022583732057,-118.53889736842106
2022-12,Foothill,680,34.24817970588236,-118.37670661764706
2022-12,Harbor,826,33.772302905569006,-118.28581113801452
2022-12,Hollenbeck,743,34.054549125168236,-118.20249179004038
2022-12,Hollywood,896,34.09985301339286,-118.328621875
2022-12,Mission,791,34.25278204804046,-118.4499236409608
2022-12,N Hollywood,954,34.171055555555554,-118.38589937106919
2022-12,Newton,950,34.00878915789473,-118.26062242105263
2022-12,Northeast,842,34.10803076009501,-118.24478717339667
2022-12,Olympic,989,34.0608462082912,-118.30042254802831
2022-12,Pacific,1081,33.984670767807586,-118.42082405180388
2022-12,Rampart,887,34.063630890642614,-118.27388162344984
2022-12,Southeast,1049,33.93923860819828,-118.26690428979981
2022-12,Southwest,1181,34.02079966130398,-118.3166116850127
2022-12,Topanga,804,34.194067412935325,-118.60122176616915
2022-12,Van Nuys,860,34.17856686046512,-118.44693127906977
2022-12,West LA,928,34.052476508620686,-118.43959439655173
2022-12,West Valley,924,34.18607272727272,-118.52067445887445
2022-12,Wilshire,1061,34.06168473138549,-118.35215127238455
