GridLat,GridLon,Total_Crimes,LAT,LON
33.92,-118.25,27,33.924,-118.25437407407408
33.93,-118.44,1,33.9309,-118.435
33.93,-118.43,35,33.93080571428571,-118.43444
33.93,-118.42,1,33.9313,-118.416
33.93,-118.41,11,33.9319,-118.4062
33.93,-118.4,6,33.93258333333333,-118.39836666666666
33.93,-118.38,62,33.930791935483875,-118.37846129032259
33.93,-118.37,39,33.93235641025641,-118.37158974358975
33.93,-118.29,224,33.92910178571429,-118.28847633928571
33.93,-118.28,465,33.93137612903226,-118.28007010752688
33.93,-118.27,773,33.93047606727038,-118.26905291073739
33.93,-118.26,288,33.93208194444444,-118.25991736111112
33.93,-118.25,478,33.93169079497908,-118.25040941422596
33.93,-118.24,205,33.93187268292683,-118.23924634146341
33.93,-118.23,232,33.93163448275862,-118.23282629310344
33.94,-118.44,31,33.93648064516129,-118.43857096774192
33.94,-118.43,2,33.9414,-118.4266
33.94,-118.42,5,33.941860000000005,-118.42174
33.94,-118.41,14,33.94225,-118.40912142857142
33.94,-118.4,302,33.94290728476821,-118.40299569536424
33.94,-118.39,14,33.94394285714286,-118.38716428571429
33.94,-118.38,14,33.941564285714286,-118.3771
33.94,-118.37,44,33.941311363636366,-118.37313863636363
33.94,-118.31,81,33.942292592592594,-118.31027530864196
33.94,-118.29,308,33.93901883116883,-118.28885909090909
33.94,-118.28,659,33.94033277693475,-118.279993323217
33.94,-118.27,686,33.94021413994169,-118.27002900874636
33.94,-118.26,370,33.93972378378378,-118.26102864864865
33.94,-118.25,512,33.939678125,-118.2509294921875
33.94,-118.24,431,33.940384918793505,-118.23980788863109
33.94,-118.23,186,33.94028494623656,-118.23269354838709
33.95,-118.45,6,33.95341666666666,-118.44678333333333
33.95,-118.44,56,33.954437500000004,-118.44126785714286
33.95,-118.43,2,33.95405,-118.43025
33.95,-118.42,4,33.9541,-118.421025
33.95,-118.41,1,33.9539,-118.4128
33.95,-118.4,693,33.94622438672439,-118.39976262626263
33.95,-118.39,523,33.94872122370937,-118.39057896749522
33.95,-118.38,224,33.94653169642857,-118.37980937500001
33.95,-118.37,148,33.946985810810816,-118.37350878378378
33.95,-118.32,31,33.95043225806452,-118.31658387096775
33.95,-118.31,291,33.950013058419245,-118.309206185567
33.95,-118.3,65,33.95068153846154,-118.30212769230769
33.95,-118.29,359,33.94907409470752,-118.28848635097492
33.95,-118.28,620,33.949337580645164,-118.28066983870967
33.95,-118.27,817,33.949417625459,-118.27024957160343
33.95,-118.26,315,33.95068126984127,-118.25958888888889
33.95,-118.25,359,33.949656545961005,-118.2478721448468
33.95,-118.24,428,33.949490654205604,-118.23984135514019
33.95,-118.23,243,33.94685637860083,-118.23145967078189
33.96,-118.45,98,33.95951836734694,-118.44852244897959
33.96,-118.44,158,33.95780949367089,-118.43845189873417
33.96,-118.43,216,33.95875509259259,-118.43035509259259
33.96,-118.42,178,33.95975224719101,-118.42018089887641
33.96,-118.41,54,33.96075925925926,-118.40964444444444
33.96,-118.4,233,33.958471673819744,-118.39898927038625
33.96,-118.39,190,33.958837894736845,-118.38934631578948
33.96,-118.38,237,33.958364556962024,-118.38179662447257
33.96,-118.37,5,33.9637,-118.37302
33.96,-118.32,50,33.959812,-118.316338
33.96,-118.31,390,33.96008512820513,-118.30937743589745
33.96,-118.3,356,33.961556741573034,-118.30070730337079
33.96,-118.29,630,33.96021619047619,-118.28944174603174
33.96,-118.28,781,33.96021293213828,-118.2809490396927
33.96,-118.27,877,33.960580159635114,-118.27006795895097
33.96,-118.26,572,33.96031503496503,-118.25973653846154
33.97,-118.46,104,33.971159615384614,-118.45893557692308
33.97,-118.45,2,33.9666,-118.4541
33.97,-118.44,3,33.96866666666667,-118.43806666666667
33.97,-118.43,96,33.97282916666666,-118.428525
33.97,-118.42,109,33.96932018348624,-118.42180458715596
33.97,-118.41,63,33.968585714285716,-118.41022380952381
33.97,-118.4,73,33.970641095890414,-118.39941780821917
33.97,-118.39,105,33.97115904761905,-118.38940952380952
33.97,-118.38,161,33.9694950310559,-118.37938633540374
